Property Related Damage,2018,191
Prostitution,2015,43
Prostitution,2016,70
Prostitution,2017,87
Prostitution,2018,7
Recovered Stolen Property,2015,257
Recovered Stolen Property,2016,433
Recovered Stolen Property,2017,464
Recovered Stolen Property,2018,301
Residential Burglary,2015,1423
Residential Burglary,2016,1781
Residential Burglary,2017,1528
Residential Burglary,2018,874
Restraining Order Violations,2015,247
Restraining Order Violations,2016,532
Restraining Order Violations,2017,522
Restraining Order Violations,2018,306
Robbery,2015,948
Robbery,2016,1506
Robbery,2017,1376
Robbery,2018,794
Search Warrants,2015,166
Search Warrants,2016,293
Search Warrants,2017,347
Search Warrants,2018,160
Service,2015,59
Service,2016,82
Service,2017,88
Service,2018,56
Simple Assault,2015,2612
Simple Assault,2016,4740
Simple Assault,2017,4896
Simple Assault,2018,3578
Towed,2015,1559
Towed,2016,3223
Towed,2017,3951
Towed,2018,2554
Vandalism,2015,2701
Vandalism,2016,5063
Vandalism,2017,4837
Vandalism,2018,2814
Verbal Disputes,2015,1509
Verbal Disputes,2016,4099
Verbal Disputes,2017,4436
Verbal Disputes,2018,3055
Violations,2015,1354
Violations,2016,1923
Violations,2017,1614
Violations,2018,1204
Warrant Arrests,2015,1319
Warrant Arrests,2016,2837
Warrant Arrests,2017,3098
Warrant Arrests,2018,1153
