Firearm Discovery,10,50
Firearm Discovery,11,50
Firearm Discovery,12,52
Firearm Violations,1,16
Firearm Violations,2,9
Firearm Violations,3,19
Firearm Violations,4,24
Firearm Violations,5,17
Firearm Violations,6,26
Firearm Violations,7,28
Firearm Violations,8,33
Firearm Violations,9,17
Firearm Violations,10,25
Firearm Violations,11,22
Firearm Violations,12,19
Firearm Violations,2015,328
Firearm Violations,2016,463
Firearm Violations,2017,411
Firearm Violations,2018,320
Fraud,1,413
Fraud,2,487
Fraud,3,479
Fraud,4,483
Fraud,5,490
Fraud,6,552
Fraud,7,611
Fraud,8,621
Fraud,9,470
Fraud,10,414
Fraud,11,420
Fraud,12,389
Gambling,6,1
Gambling,8,1
Gambling,9,1
Gambling,10,1
Gambling,11,3
Gambling,12,1
HOME INVASION,1,4
HOME INVASION,2,6
HOME INVASION,3,2
HOME INVASION,4,13
HOME INVASION,5,9
HOME INVASION,6,5
HOME INVASION,7,4
HOME INVASION,8,6
HOME INVASION,9,5
HOME INVASION,10,7
HOME INVASION,11,8
HOME INVASION,12,8
HUMAN TRAFFICKING,2,1
HUMAN TRAFFICKING,5,1
HUMAN TRAFFICKING,7,2
HUMAN TRAFFICKING,8,1
HUMAN TRAFFICKING,9,2
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,4,1
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,8,1
Harassment,1,308
Harassment,2,257
Harassment,3,284
Harassment,4,375
Harassment,5,371
Harassment,6,416
Harassment,7,418
Harassment,8,415
Harassment,9,324
Harassment,10,299
Harassment,11,283
Harassment,12,257
Harbor Related Incidents,1,14
Harbor Related Incidents,2,20
Harbor Related Incidents,3,23
Harbor Related Incidents,4,16
Harbor Related Incidents,5,11
Harbor Related Incidents,6,18
Harbor Related Incidents,7,45
Harbor Related Incidents,8,31
Harbor Related Incidents,9,10
Harbor Related Incidents,10,16
Harbor Related Incidents,11,2
Harbor Related Incidents,12,6
Homicide,2015,27
Homicide,2016,47
Homicide,2017,54
Homicide,2018,33
INVESTIGATE PERSON,1,1
INVESTIGATE PERSON,2,1
INVESTIGATE PERSON,10,2
Investigate Person,1,1204
Investigate Person,2,1119
Investigate Person,3,1326
Investigate Person,4,1336
Investigate Person,5,1504
Investigate Person,6,1674
Investigate Person,7,1926
Investigate Person,8,2167
Investigate Person,9,1727
Investigate Person,10,1570
Investigate Person,11,1622
Investigate Person,12,1575
Investigate Property,1,772
Investigate Property,2,755
Investigate Property,3,866
Investigate Property,4,827
Investigate Property,5,959
Investigate Property,6,1170
Investigate Property,7,1264
Investigate Property,8,1113
Investigate Property,9,903
Investigate Property,10,893
Investigate Property,11,816
Investigate Property,12,786
Landlord/Tenant Disputes,1,84
Landlord/Tenant Disputes,2,69
Landlord/Tenant Disputes,3,57
